dataset,seed,arm,width,held_out_mse,training_macs,selection_macs,total_macs,trustworthy,hit_cap,converged,n_selection_used
california,0,w_shared,10,0.2915958762168884,5062520736,1738854,5064259590,True,False,True,2477
california,0,w_perinput,,0.31547191739082336,5062520736,3709555200,8772075936,True,False,True,2477
california,0,w_sweep,9,0.2952309250831604,3550290588,1738854,3552029442,True,False,True,2477
california,0,lightgbm,,0.21733086487535355,,,,True,False,True,
california,0,linear_reg,,0.48599031704646056,,,,True,False,True,
california,0,plain_nn,,0.29640263319015503,,,,True,False,True,
california,1,w_shared,10,0.2986905574798584,11237683392,1738854,11239422246,True,False,True,2477
california,1,w_perinput,,0.32458171248435974,11237683392,3709555200,14947238592,True,False,True,2477
california,1,w_sweep,9,0.2996865212917328,4565219724,1738854,4566958578,True,False,True,2477
california,1,lightgbm,,0.20617335137155804,,,,True,False,True,
california,1,linear_reg,,0.49789002621446465,,,,True,False,True,
california,1,plain_nn,,0.30225372314453125,,,,True,False,True,
california,2,w_shared,11,0.3001808822154999,7482516912,1738854,7484255766,True,False,True,2477
california,2,w_perinput,,0.3228946626186371,7482516912,3709555200,11192072112,True,False,True,2477
california,2,w_sweep,7,0.3147214651107788,4749233580,1738854,4750972434,True,False,True,2477
california,2,lightgbm,,0.2225200876602644,,,,False,True,False,
california,2,linear_reg,,0.5140746671918652,,,,True,False,True,
california,2,plain_nn,,0.3058326840400696,,,,True,False,True,
