dataset,seed,arm,width,held_out_mse,training_macs,selection_macs,total_macs,trustworthy,hit_cap,converged,n_selection_used
diabetes,0,w_shared,4,3180.683837890625,51173694,45474,51219168,True,False,True,53
diabetes,0,w_perinput,,3206.57568359375,51173694,82425600,133599294,True,False,True,53
diabetes,0,w_sweep,1,3028.52734375,38317455,45474,38362929,True,False,True,53
diabetes,0,lightgbm,,3879.2032083791028,,,,True,False,True,
diabetes,0,linear_reg,,2990.579952977804,,,,True,False,True,
diabetes,0,plain_nn,,3362.2841796875,,,,True,False,True,
diabetes,1,w_shared,1,4238.50439453125,67868658,45474,67914132,False,False,True,53
diabetes,1,w_perinput,,4083.97509765625,67868658,82425600,150294258,False,False,True,53
diabetes,1,w_sweep,1,4291.205078125,59037264,45474,59082738,True,False,True,53
diabetes,1,lightgbm,,3434.91424429298,,,,True,False,True,
diabetes,1,linear_reg,,3242.96154658013,,,,True,False,True,
diabetes,1,plain_nn,,4035.489990234375,,,,True,False,True,
diabetes,2,w_shared,1,3954.79931640625,62424648,45474,62470122,True,False,True,53
diabetes,2,w_perinput,,3706.634521484375,62424648,82425600,144850248,True,False,True,53
diabetes,2,w_sweep,1,3809.64990234375,40755627,45474,40801101,True,False,True,53
diabetes,2,lightgbm,,4304.047165319422,,,,True,False,True,
diabetes,2,linear_reg,,3523.3964459674257,,,,True,False,True,
diabetes,2,plain_nn,,3482.936767578125,,,,True,False,True,
