dataset,seed,arm,width,held_out_mse,training_macs,selection_macs,total_macs,trustworthy,hit_cap,converged,n_selection_used
energy,0,w_shared,3,38.0112419128418,97002360,64584,97066944,True,False,True,92
energy,0,w_perinput,,39.793060302734375,97002360,137779200,234781560,True,False,True,92
energy,0,w_sweep,2,41.78848648071289,196207515,64584,196272099,True,False,True,92
energy,0,lightgbm,,30.704189619859658,,,,True,False,True,
energy,0,linear_reg,,48.04212804547943,,,,True,False,True,
energy,0,plain_nn,,8.22449779510498,,,,True,False,True,
energy,1,w_shared,1,29.627561569213867,666633240,64584,666697824,True,False,True,92
energy,1,w_perinput,,2.9724843502044678,666633240,137779200,804412440,True,False,True,92
energy,1,w_sweep,1,29.761892318725586,403409160,64584,403473744,True,False,True,92
energy,1,lightgbm,,22.90128439215444,,,,True,False,True,
energy,1,linear_reg,,34.587389232924714,,,,True,False,True,
energy,1,plain_nn,,13.979804039001465,,,,True,False,True,
energy,2,w_shared,2,31.588308334350586,1132038180,64584,1132102764,True,False,True,92
energy,2,w_perinput,,9.910706520080566,1132038180,137779200,1269817380,True,False,True,92
energy,2,w_sweep,2,14.072275161743164,563994900,64584,564059484,True,False,True,92
energy,2,lightgbm,,10.968394918924318,,,,False,True,False,
energy,2,linear_reg,,35.80077378487604,,,,True,False,True,
energy,2,plain_nn,,13.507946014404297,,,,True,False,True,
