dataset,seed,arm,width,held_out_mse,training_macs,selection_macs,total_macs,trustworthy,hit_cap,converged,n_selection_used
kin8nm,0,w_shared,10,0.012132956646382809,4156428978,690066,4157119044,True,False,True,983
kin8nm,0,w_perinput,,0.016963785514235497,4156428978,1472140800,5628569778,True,False,True,983
kin8nm,0,w_sweep,10,0.008795334957540035,1715321313,690066,1716011379,True,False,True,983
kin8nm,0,lightgbm,,0.01637236779503313,,,,False,True,False,
kin8nm,0,linear_reg,,0.0402873070449575,,,,True,False,True,
kin8nm,0,plain_nn,,0.008811871521174908,,,,True,False,True,
kin8nm,1,w_shared,11,0.011193386279046535,2036815794,690066,2037505860,True,False,True,983
kin8nm,1,w_perinput,,0.017027301713824272,2036815794,1472140800,3508956594,True,False,True,983
kin8nm,1,w_sweep,9,0.009726451709866524,1673356482,690066,1674046548,True,False,True,983
kin8nm,1,lightgbm,,0.017613123210270074,,,,False,True,False,
kin8nm,1,linear_reg,,0.03981621388961105,,,,True,False,True,
kin8nm,1,plain_nn,,0.00858359970152378,,,,True,False,True,
kin8nm,2,w_shared,12,0.011161552742123604,2975186214,690066,2975876280,True,False,True,983
kin8nm,2,w_perinput,,0.018550219014286995,2975186214,1472140800,4447327014,True,False,True,983
kin8nm,2,w_sweep,12,0.008870961144566536,1888629696,690066,1889319762,True,False,True,983
kin8nm,2,lightgbm,,0.017331386270305154,,,,False,True,False,
kin8nm,2,linear_reg,,0.04143335185658796,,,,True,False,True,
kin8nm,2,plain_nn,,0.008870961144566536,,,,True,False,True,
