dataset,seed,arm,width,held_out_mse,training_macs,selection_macs,total_macs,trustworthy,hit_cap,converged,n_selection_used
yacht,0,w_shared,1,1.8975028991699219,311256036,20202,311276238,True,False,True,37
yacht,0,w_perinput,,1.8497477769851685,311256036,53280000,364536036,True,False,True,37
yacht,0,w_sweep,2,5.058849334716797,203136948,20202,203157150,True,False,True,37
yacht,0,lightgbm,,94.88126802093213,,,,True,False,True,
yacht,0,linear_reg,,100.04322650841006,,,,True,False,True,
yacht,0,plain_nn,,1.594891905784607,,,,True,False,True,
yacht,1,w_shared,1,3.908719778060913,269359272,20202,269379474,True,False,True,37
yacht,1,w_perinput,,2.0447514057159424,269359272,53280000,322639272,True,False,True,37
yacht,1,w_sweep,1,2.733792304992676,345429126,20202,345449328,True,False,True,37
yacht,1,lightgbm,,121.36076166581073,,,,True,False,True,
yacht,1,linear_reg,,120.51319485040487,,,,True,False,True,
yacht,1,plain_nn,,2.9530858993530273,,,,True,False,True,
yacht,2,w_shared,2,1.436216950416565,428117508,20202,428137710,True,False,True,37
yacht,2,w_perinput,,0.5807571411132812,428117508,53280000,481397508,True,False,True,37
yacht,2,w_sweep,1,1.7760742902755737,210292614,20202,210312816,True,False,True,37
yacht,2,lightgbm,,43.88781020000505,,,,True,False,True,
yacht,2,linear_reg,,66.40315416957465,,,,True,False,True,
yacht,2,plain_nn,,0.7133724689483643,,,,True,False,True,
