dataset,model,k,seed,wall_time_s,mse,nll_gaussian,picp95,sharpness
heteroscedastic,DirectNN,-1,42,8.4,1.943315,1.756971,,
heteroscedastic,ClassReg,2,42,4.8,1.93071,1.862272,0.9875,7.134
heteroscedastic,ClassReg,3,42,5.0,2.192821,1.797517,0.9875,6.56
heteroscedastic,ClassReg,5,42,4.5,2.140554,1.795711,0.9812,6.5411
heteroscedastic,ClassReg,7,42,5.2,2.02486,1.799712,0.9688,6.4907
heteroscedastic,ClassReg,10,42,4.5,1.996687,1.827986,0.9812,6.6947
heteroscedastic,ClassReg,15,42,1.1,2.355293,2.101538,0.95,7.5091
heteroscedastic,DirectNN,-1,123,2.7,2.013167,1.77024,,
heteroscedastic,ClassReg,2,123,5.3,1.861946,1.868948,0.9812,7.1637
heteroscedastic,ClassReg,3,123,4.5,2.008683,1.777329,0.9812,6.7009
heteroscedastic,ClassReg,5,123,4.5,2.083841,1.76946,0.975,6.4887
heteroscedastic,ClassReg,7,123,4.8,1.934071,1.806712,0.9688,6.6008
heteroscedastic,ClassReg,10,123,4.7,1.954479,1.846416,0.9688,6.8214
heteroscedastic,ClassReg,15,123,4.4,1.91308,1.879828,0.9625,6.8504
heteroscedastic,DirectNN,-1,7,2.4,1.576891,1.647228,,
heteroscedastic,ClassReg,2,7,5.0,1.872217,1.836343,0.9812,7.2612
heteroscedastic,ClassReg,3,7,4.5,1.808888,1.750779,0.975,6.702
heteroscedastic,ClassReg,5,7,5.1,1.855206,1.75049,0.9563,6.5762
heteroscedastic,ClassReg,7,7,4.5,1.799859,1.778962,0.975,6.8083
heteroscedastic,ClassReg,10,7,4.3,1.79055,1.792255,0.9688,6.8475
heteroscedastic,ClassReg,15,7,1.4,2.201407,1.995331,0.95,7.3818
heteroscedastic,DirectNN,-1,2026,2.3,1.936846,1.756346,,
heteroscedastic,ClassReg,2,2026,4.1,2.229016,1.87159,0.975,7.2075
heteroscedastic,ClassReg,3,2026,4.2,2.176905,1.772023,0.9563,6.4533
heteroscedastic,ClassReg,5,2026,4.6,2.160395,1.822418,0.9563,6.6362
heteroscedastic,ClassReg,7,2026,4.1,2.114557,1.814047,0.9375,6.6251
heteroscedastic,ClassReg,10,2026,4.2,2.088183,1.80457,0.95,6.6719
heteroscedastic,ClassReg,15,2026,4.1,2.03823,1.854745,0.9563,6.8303
heteroscedastic,DirectNN,-1,31,2.2,1.768714,1.705192,,
heteroscedastic,ClassReg,2,31,4.4,1.819548,1.836977,0.9625,7.0018
heteroscedastic,ClassReg,3,31,4.3,2.066284,1.751674,0.9563,6.6086
heteroscedastic,ClassReg,5,31,4.2,1.930639,1.732334,0.9625,6.5115
heteroscedastic,ClassReg,7,31,4.2,1.869901,1.784445,0.9563,6.6117
heteroscedastic,ClassReg,10,31,4.0,1.806876,1.802315,0.9688,6.8003
heteroscedastic,ClassReg,15,31,4.4,1.774252,1.845063,0.9688,6.9677
bimodal,DirectNN,-1,42,2.3,2.301411,1.835843,,
bimodal,ClassReg,2,42,4.9,3.235771,1.978935,0.9938,7.5064
bimodal,ClassReg,3,42,4.8,3.43205,1.901764,1.0,7.1023
bimodal,ClassReg,5,42,4.4,3.115429,1.882746,1.0,6.3314
bimodal,ClassReg,7,42,4.6,2.932762,1.856365,1.0,6.1222
bimodal,ClassReg,10,42,4.2,2.853742,1.83649,1.0,6.0693
bimodal,ClassReg,15,42,4.6,3.176113,1.828116,1.0,6.063
bimodal,DirectNN,-1,123,0.7,2.305849,1.836691,,
bimodal,ClassReg,2,123,4.8,3.466812,1.960393,0.9812,7.3993
bimodal,ClassReg,3,123,4.0,3.536539,1.931082,1.0,6.9626
bimodal,ClassReg,5,123,4.6,3.156758,1.898566,0.975,6.401
bimodal,ClassReg,7,123,4.6,3.376625,1.842165,1.0,6.1419
bimodal,ClassReg,10,123,4.8,3.356149,1.840261,1.0,6.1329
bimodal,ClassReg,15,123,4.6,3.278341,1.841862,1.0,6.0439
bimodal,DirectNN,-1,7,2.0,2.334105,1.842994,,
bimodal,ClassReg,2,7,5.3,3.6626,2.005169,0.975,7.3449
bimodal,ClassReg,3,7,4.4,3.524232,1.976665,1.0,6.915
bimodal,ClassReg,5,7,4.4,3.565652,1.971571,0.9375,6.2283
bimodal,ClassReg,7,7,4.5,3.351091,1.875307,1.0,6.1025
bimodal,ClassReg,10,7,4.0,3.249138,1.862253,1.0,6.0427
bimodal,ClassReg,15,7,4.5,3.347898,1.855223,1.0,6.0202
bimodal,DirectNN,-1,2026,3.7,2.283055,1.831726,,
bimodal,ClassReg,2,2026,6.3,2.95671,1.95149,0.9812,7.5395
bimodal,ClassReg,3,2026,4.6,2.964653,1.912092,1.0,7.098
bimodal,ClassReg,5,2026,4.5,2.800219,1.876692,0.9875,6.2305
bimodal,ClassReg,7,2026,4.6,3.262767,1.835286,1.0,6.1432
bimodal,ClassReg,10,2026,4.3,2.613679,1.839296,1.0,6.0078
bimodal,ClassReg,15,2026,5.5,2.611116,1.830266,1.0,6.0935
bimodal,DirectNN,-1,31,1.4,2.249259,1.824335,,
bimodal,ClassReg,2,31,4.4,3.100003,1.964248,1.0,7.5757
bimodal,ClassReg,3,31,4.1,3.025381,1.903454,1.0,7.1375
bimodal,ClassReg,5,31,4.2,2.97882,1.881124,1.0,6.1953
bimodal,ClassReg,7,31,4.3,3.49559,1.835896,1.0,6.1513
bimodal,ClassReg,10,31,4.7,2.909648,1.824984,1.0,6.036
bimodal,ClassReg,15,31,4.6,2.892273,1.832441,1.0,6.0222
piecewise,DirectNN,-1,42,2.0,0.3013,0.822449,,
piecewise,ClassReg,2,42,4.9,0.355657,1.193127,0.9812,3.8593
piecewise,ClassReg,3,42,3.7,0.353673,0.932344,0.9812,3.163
piecewise,ClassReg,5,42,4.0,0.343857,0.746356,1.0,2.608
piecewise,ClassReg,7,42,4.3,0.293398,0.704255,1.0,2.4331
piecewise,ClassReg,10,42,4.0,0.326415,0.686866,0.9938,2.3731
piecewise,ClassReg,15,42,4.2,0.31774,0.68272,1.0,2.3672
piecewise,DirectNN,-1,123,0.9,0.320787,0.857125,,
piecewise,ClassReg,2,123,4.3,0.375302,1.221142,0.975,3.7348
piecewise,ClassReg,3,123,4.2,0.426452,0.954274,0.975,3.0077
piecewise,ClassReg,5,123,4.1,0.411847,0.74082,0.9875,2.5001
piecewise,ClassReg,7,123,4.4,0.365294,0.703001,0.9938,2.356
piecewise,ClassReg,10,123,4.3,0.378542,0.684372,1.0,2.3419
piecewise,ClassReg,15,123,4.4,0.379247,0.722708,0.9875,2.3313
piecewise,DirectNN,-1,7,2.4,0.243675,0.717529,,
piecewise,ClassReg,2,7,4.6,0.340151,1.183906,0.9938,3.8589
piecewise,ClassReg,3,7,4.2,0.309968,0.897532,0.9938,3.0234
piecewise,ClassReg,5,7,4.3,0.301129,0.699887,1.0,2.5241
piecewise,ClassReg,7,7,4.3,0.263867,0.643783,1.0,2.3403
piecewise,ClassReg,10,7,4.6,0.296293,0.635931,1.0,2.3254
piecewise,ClassReg,15,7,4.5,0.257557,0.632817,1.0,2.2924
piecewise,DirectNN,-1,2026,1.3,0.327942,0.873343,,
piecewise,ClassReg,2,2026,2.5,0.421709,1.224855,0.9688,3.9015
piecewise,ClassReg,3,2026,4.3,0.417873,0.953062,0.9688,2.9962
piecewise,ClassReg,5,2026,4.4,0.391169,0.756579,0.9812,2.4672
piecewise,ClassReg,7,2026,4.5,0.367392,0.744234,0.975,2.3639
piecewise,ClassReg,10,2026,4.3,0.401613,0.71315,0.9812,2.3241
piecewise,ClassReg,15,2026,4.2,0.387493,0.708123,0.975,2.2399
piecewise,DirectNN,-1,31,3.8,0.284586,0.79135,,
piecewise,ClassReg,2,31,4.1,0.410914,1.243535,0.9688,3.9812
piecewise,ClassReg,3,31,4.2,0.41074,0.975519,0.975,3.1843
piecewise,ClassReg,5,31,4.2,0.37567,0.778039,0.9812,2.5924
piecewise,ClassReg,7,31,4.2,0.354153,0.736782,0.9875,2.4721
piecewise,ClassReg,10,31,4.0,0.369033,0.737406,0.9875,2.4654
piecewise,ClassReg,15,31,4.2,0.366898,0.723506,1.0,2.4319
exponential,DirectNN,-1,42,4.9,0.358294,0.927055,,
exponential,ClassReg,2,42,3.3,4.096894,2.184211,0.9667,13.1608
exponential,ClassReg,3,42,3.6,3.872968,1.858048,0.9833,10.0332
exponential,ClassReg,5,42,3.3,2.760409,1.648115,0.95,8.2046
exponential,ClassReg,7,42,3.5,2.921586,1.629831,0.9417,7.9351
exponential,ClassReg,10,42,3.3,3.587169,1.666257,0.9583,8.3305
exponential,ClassReg,15,42,3.4,3.180668,1.629915,0.95,7.7687
exponential,DirectNN,-1,123,5.1,0.327099,0.860257,,
exponential,ClassReg,2,123,3.5,2.606832,2.236882,0.975,13.9892
exponential,ClassReg,3,123,3.1,2.539999,1.792451,0.9917,9.8379
exponential,ClassReg,5,123,3.3,2.178943,1.55903,0.9833,7.9341
exponential,ClassReg,7,123,3.4,2.141225,1.527676,0.9833,7.6926
exponential,ClassReg,10,123,3.5,2.873737,1.4644,0.9833,7.2252
exponential,ClassReg,15,123,3.4,2.343866,1.490436,0.9833,7.4629
exponential,DirectNN,-1,7,3.7,0.277396,0.782594,,
exponential,ClassReg,2,7,3.6,2.630496,2.280857,0.9833,14.1279
exponential,ClassReg,3,7,3.2,2.77503,1.784122,0.9917,9.8504
exponential,ClassReg,5,7,3.3,2.504437,1.625061,0.9917,8.4014
exponential,ClassReg,7,7,3.3,2.035165,1.495882,0.9667,7.1521
exponential,ClassReg,10,7,3.0,2.755272,1.554539,0.9667,7.6546
exponential,ClassReg,15,7,3.0,2.618768,1.588519,0.9667,8.003
exponential,DirectNN,-1,2026,5.0,0.324626,0.856762,,
exponential,ClassReg,2,2026,3.3,3.70021,2.147689,0.9417,11.7527
exponential,ClassReg,3,2026,3.4,3.120691,1.686041,0.9917,8.4757
exponential,ClassReg,5,2026,3.6,2.632489,1.52235,0.9583,7.1167
exponential,ClassReg,7,2026,4.1,3.314516,1.460209,0.9667,6.8051
exponential,ClassReg,10,2026,3.2,3.882568,1.474716,0.9583,6.869
exponential,ClassReg,15,2026,3.2,4.334527,1.511987,0.9667,7.1224
exponential,DirectNN,-1,31,4.9,0.398517,0.973253,,
exponential,ClassReg,2,31,3.3,3.730151,2.25762,0.9667,13.8145
exponential,ClassReg,3,31,3.6,4.024122,1.876323,0.9917,10.6452
exponential,ClassReg,5,31,3.7,2.932942,1.650946,0.975,8.586
exponential,ClassReg,7,31,3.8,3.601743,1.625508,0.9667,8.5233
exponential,ClassReg,10,31,3.6,4.286563,1.633914,0.975,8.6737
exponential,ClassReg,15,31,3.5,3.424178,1.531001,0.975,7.7278
