dataset,model,k,mse_mean,mse_std,nll_gaussian_mean,nll_gaussian_std,picp95_mean,picp95_std,sharpness_mean,sharpness_std,wall_time_s_mean,wall_time_s_std
bimodal,ClassReg,2,3.2843792,0.2828679660772848,1.9720469999999999,0.020998463003277148,0.9862399999999999,0.010291161256146012,7.47316,0.09737334337486843,5.14,0.7231873892705817
bimodal,ClassReg,3,3.296571,0.27905299954040974,1.9250114,0.031132862762682123,1.0,0.0,7.043080000000001,0.09787730584767844,4.38,0.3346640106136303
bimodal,ClassReg,5,3.1233756,0.28377475957755655,1.9021398,0.03968260775453142,0.9800000000000001,0.02592055169165968,6.277299999999999,0.08594146263591305,4.42,0.14832396974191295
bimodal,ClassReg,7,3.283767,0.2131135979319481,1.8490037999999998,0.016976507582538908,1.0,0.0,6.13222,0.019760996938413915,4.52,0.13038404810405277
bimodal,ClassReg,10,2.9964712,0.30317008122784816,1.8406568,0.013522233273390931,1.0,0.0,6.05774,0.0473695366242908,4.4,0.33911649915626346
bimodal,ClassReg,15,3.0611482,0.30563985326802523,1.8375816,0.011170073558397043,1.0,0.0,6.04856,0.030614424704704043,4.76,0.41593268686170853
bimodal,DirectNN,-1,2.2947358,0.03131523528891339,1.8343178000000002,0.006884919803454476,,,,,2.02,1.121160113453917
exponential,ClassReg,2,3.3529166000000004,0.6882867541220012,2.2214518,0.054550516493430214,0.96668,0.015567979958877114,13.36902,0.9765782646567552,3.4,0.1414213562373096
exponential,ClassReg,3,3.2665620000000004,0.6581035706995519,1.7993970000000001,0.07498117189334935,0.99002,0.003756594202199655,9.76848,0.7939654885446852,3.38,0.22803508501982753
exponential,ClassReg,5,2.601844,0.28462310179604206,1.6011004,0.05753392664593644,0.97166,0.017290835723006555,8.04856,0.5742713757449526,3.44,0.1949358868961794
exponential,ClassReg,7,2.802847,0.6966380441997837,1.5478212,0.07671416648637973,0.96502,0.014886638304197505,7.621639999999999,0.671470146767524,3.6199999999999997,0.3271085446759225
exponential,ClassReg,10,3.4770618,0.6551397553596483,1.5587652,0.09108889746670569,0.96832,0.010867934486368575,7.7506,0.7501462090819365,3.3200000000000003,0.23874672772626648
exponential,ClassReg,15,3.1804014,0.7756701221858424,1.5503716,0.05749619643767754,0.9683399999999999,0.01234799578879097,7.616960000000001,0.33640061385199643,3.3,0.19999999999999998
exponential,DirectNN,-1,0.3371864,0.044836883514579845,0.8799842,0.07302056784701144,,,,,4.720000000000001,0.5761944116355172
heteroscedastic,ClassReg,2,1.9426874,0.16490610060819466,1.855226,0.017286653710304932,0.9774799999999999,0.009468738036296097,7.15364,0.09748380891204429,4.720000000000001,0.4764451699828638
heteroscedastic,ClassReg,3,2.0507162,0.15540866452904092,1.7698644000000001,0.01949480212261714,0.97126,0.014353849657844461,6.60496,0.10447087153843432,4.5,0.30822070014844916
heteroscedastic,ClassReg,5,2.034127,0.13459595678734176,1.7740826000000003,0.035794634329742836,0.9662599999999999,0.01131516681273411,6.55074,0.057951039680061066,4.58,0.3271085446759223
heteroscedastic,ClassReg,7,1.9486496,0.12438429429714984,1.7967756000000001,0.014790400511818463,0.96128,0.0149300703280326,6.62732,0.11442356400672016,4.5600000000000005,0.4505552130427522
heteroscedastic,ClassReg,10,1.927355,0.12712108464963626,1.8147084,0.022035228891481982,0.96752,0.011169243483781701,6.76716,0.07877130188082457,4.34,0.2701851217221259
heteroscedastic,ClassReg,15,2.0564524,0.22958784101798613,1.9353010000000002,0.11062070395952112,0.95752,0.008164373827795968,7.10786,0.3158348824940024,3.08,1.6783920876839238
heteroscedastic,DirectNN,-1,1.8477865999999998,0.17609999347614985,1.7271954,0.05115690593458531,,,,,3.6,2.689795531262553
piecewise,ClassReg,2,0.3807466,0.03498258378536384,1.2133129999999999,0.024393270250214507,0.97752,0.01045236815272025,3.86714,0.08920976964436128,4.08,0.9338094023942999
piecewise,ClassReg,3,0.3837412,0.05016151188610645,0.9425462,0.02943506399177692,0.97876,0.009481982914981462,3.0749199999999997,0.09095568701296254,4.12,0.23874672772626654
piecewise,ClassReg,5,0.3647344,0.04335748275442199,0.7443362,0.028626646305496564,0.9899799999999999,0.009501684061259898,2.53836,0.06020999086530407,4.2,0.15811388300841933
piecewise,ClassReg,7,0.3288208,0.04725865803955926,0.7064109999999999,0.039659550520650115,0.9912599999999999,0.010461261874171776,2.3930800000000003,0.05669631381315725,4.34,0.11401754250991385
piecewise,ClassReg,10,0.3543792,0.04238398793412437,0.691545,0.03786908142535279,0.9925,0.008168231142664876,2.36598,0.05898209050211759,4.24,0.2509980079602224
piecewise,ClassReg,15,0.34178699999999995,0.05430424354044534,0.6939748,0.03796316353651261,0.9925,0.011180339887498955,2.3325400000000003,0.07291887958546815,4.3,0.14142135623730928
piecewise,DirectNN,-1,0.295658,0.03365403740266538,0.8123592000000001,0.06176357764249091,,,,,2.0799999999999996,1.1256109452204166
