Address,Building,Sale Date,Bedrooms,Floor,Parking Spaces,Actual Price (GBP),Size (sq ft),is Pan Peninsula,is Wardian,E14 Index,E14 Index Delta (Jan 2023)
"Flat 3704, PP",Pan Peninsula,May-25,2,37,1,1000000,950,1,0,99.1,-1.5
"Flat 801, LET",Landmark East,Mar-25,1,8,0,430000,500,0,0,98.7,-1.9
"Flat 1205, PP",Pan Peninsula,Mar-25,1,12,0,375000,500,1,0,98.7,-1.9
"Flat 604, LWT",Landmark West,Mar-25,1,6,0,445000,500,0,0,98.7,-1.9
"Flat 3307, PP",Pan Peninsula,Mar-25,2,33,1,590000,950,1,0,98.7,-1.9
"Flat 2502, PP",Pan Peninsula,Mar-25,1,25,0,444000,500,1,0,98.7,-1.9
"Flat 3701, PP",Pan Peninsula,Mar-25,2,37,1,598000,950,1,0,98.7,-1.9
"Flat 706, PP",Pan Peninsula,Mar-25,1,7,0,416000,500,1,0,98.7,-1.9
"Flat 1901, LET",Landmark East,Feb-25,2,19,1,727000,950,0,0,98.7,-1.9
"Flat 2702, LET",Landmark East,Feb-25,1,27,0,410000,500,0,0,98.7,-1.9
"Flat 4603, Wardian",Wardian,Feb-25,3,46,1,1300000,1400,0,1,98.7,-1.9
"Flat 3701, PP",Pan Peninsula,Feb-25,2,37,1,935500,950,1,0,98.7,-1.9
"Flat 1610, PP",Pan Peninsula,Feb-25,1,16,0,320000,500,1,0,98.7,-1.9
"Flat 1402, PP",Pan Peninsula,Jan-25,1,14,0,460000,500,1,0,98.7,-1.9
Flat 4304 LET,Landmark East,Dec-24,3,43,2,1275000,1678,0,0,98.3,-2.3
"Flat 3810, LET",Landmark East,Dec-24,2,38,1,725000,950,0,0,98.3,-2.3
"Flat 1202, PP",Pan Peninsula,Dec-24,1,12,0,426250,500,1,0,98.3,-2.3
"Flat 1809, PP",Pan Peninsula,Nov-24,1,18,0,319200,500,1,0,98.3,-2.3
"Flat 608, PP",Pan Peninsula,Nov-24,1,6,0,435000,500,1,0,98.3,-2.3
"Flat 1807, PP",Pan Peninsula,Nov-24,2,18,1,620000,950,1,0,98.3,-2.3
"Flat 908, PP",Pan Peninsula,Nov-24,1,9,0,320000,500,1,0,98.3,-2.3
"Flat 3113, PP",Pan Peninsula,Nov-24,1,31,0,325000,500,1,0,98.3,-2.3
"Flat 2209, PP",Pan Peninsula,Nov-24,1,22,0,335000,500,1,0,98.3,-2.3
"Flat 411, LWT",Landmark West,Oct-24,1,4,0,350000,500,0,0,98.3,-2.3
"Flat 906, PP",Pan Peninsula,Oct-24,1,9,0,430000,500,1,0,98.3,-2.3
"Flat 2007, PP",Pan Peninsula,Oct-24,2,20,1,630000,950,1,0,98.3,-2.3
"Flat 406, LWT",Landmark West,Sep-24,2,4,1,635000,950,0,0,98.1,-2.5
"Flat 2808, LWT",Landmark West,Sep-24,1,28,0,480000,500,0,0,98.1,-2.5
"Flat 3208, PP",Pan Peninsula,Sep-24,1,32,0,420000,500,1,0,98.1,-2.5
"Flat 501, LWT",Landmark West,Aug-24,2,5,1,415000,950,0,0,98.1,-2.5
"Flat 2105, PP",Pan Peninsula,Aug-24,1,21,0,402000,500,1,0,98.1,-2.5
"Flat 511, PP",Pan Peninsula,Aug-24,1,5,0,295000,500,1,0,98.1,-2.5
"Flat 2404, PP",Pan Peninsula,Jul-24,1,24,0,330000,500,1,0,98.1,-2.5
"Flat 1101, PP",Pan Peninsula,Jul-24,2,11,1,575000,950,1,0,98.1,-2.5
"Flat 1907, LWT",Landmark West,Jun-24,1,19,0,480000,500,0,0,97.8,-2.8
"Flat 3102, LET",Landmark East,Jun-24,1,31,0,450000,500,0,0,97.8,-2.8
"Flat 3807, LET",Landmark East,Jun-24,1,38,0,500000,500,0,0,97.8,-2.8
"Flat 3212, PP",Pan Peninsula,Jun-24,1,32,0,385000,500,1,0,97.8,-2.8
"Flat 2207, PP",Pan Peninsula,Jun-24,2,22,1,690000,950,1,0,97.8,-2.8
"Flat 2412, PP",Pan Peninsula,Jun-24,1,24,0,367000,500,1,0,97.8,-2.8
"Flat 1101, LWT",Landmark West,May-24,1,11,0,450000,500,0,0,97.8,-2.8
