dataset,weights,max_layers,uq,layer_method,depth_reg,mse,mean_depth,seconds,error
piecewise,shared,5,constant,soft_gating,none,0.2783096432685852,1.0265231132507324,4.831328850938007,
piecewise,shared,5,constant,gumbel_softmax,none,0.27858054637908936,1.010671854019165,4.732755003031343,
piecewise,shared,5,constant,ste,none,0.27460724115371704,1.1166666746139526,8.511997068999335,
piecewise,shared,5,constant,reinforce,none,0.26028063893318176,,7.260356893995777,"Dimension out of range (expected to be in range of [-1, 0], but got 1)"
piecewise,shared,5,constant,soft_gating,elbo,0.26098501682281494,2.005707263946533,5.950669156969525,
piecewise,shared,5,constant,gumbel_softmax,elbo,0.2649121582508087,1.3726778030395508,11.141809521941468,
piecewise,shared,5,constant,ste,elbo,0.302133709192276,2.441666841506958,7.721397805027664,
piecewise,shared,5,constant,reinforce,elbo,0.2656213641166687,,7.452397312968969,"Dimension out of range (expected to be in range of [-1, 0], but got 1)"
piecewise,shared,5,constant,soft_gating,depth_penalty,0.2782627046108246,1.020269513130188,4.274514696095139,
piecewise,shared,5,constant,gumbel_softmax,depth_penalty,0.27848753333091736,1.0076855421066284,4.321539842057973,
piecewise,shared,5,constant,ste,depth_penalty,0.27781206369400024,1.0208333730697632,3.8831052109599113,
piecewise,shared,5,,reinforce,depth_penalty,,,,"Dimension out of range (expected to be in range of [-1, 0], but got 1)"
piecewise,shared,5,constant,soft_gating,cost_aware_elbo,0.29484811425209045,1.6943299770355225,12.03147883003112,
piecewise,shared,5,constant,gumbel_softmax,cost_aware_elbo,0.2898927628993988,1.135400652885437,12.144473877036944,
piecewise,shared,5,constant,ste,cost_aware_elbo,0.2733980715274811,2.491666793823242,5.947227580938488,
piecewise,shared,5,constant,reinforce,cost_aware_elbo,0.3075614273548126,,7.00137047492899,"Dimension out of range (expected to be in range of [-1, 0], but got 1)"
b3_two_phase,shared,5,constant,soft_gating,none,0.09064171463251114,1.5785651206970215,35.50811918010004,
b3_two_phase,shared,5,constant,gumbel_softmax,none,0.08712078630924225,2.9271373748779297,64.51184592500795,
b3_two_phase,shared,5,constant,ste,none,0.08625848591327667,2.8946666717529297,59.79505485203117,
b3_two_phase,shared,5,,reinforce,none,,,,The size of tensor a (32) must match the size of tensor b (12) at non-singleton dimension 1
b3_two_phase,shared,5,constant,soft_gating,elbo,0.08497697860002518,2.0892536640167236,139.04985466599464,
b3_two_phase,shared,5,constant,gumbel_softmax,elbo,0.08663921803236008,1.4565517902374268,88.9264840639662,
b3_two_phase,shared,5,constant,ste,elbo,0.08500205725431442,2.628000020980835,150.74256948707625,
b3_two_phase,shared,5,,reinforce,elbo,,,,The size of tensor a (32) must match the size of tensor b (12) at non-singleton dimension 1
b3_two_phase,shared,5,constant,soft_gating,depth_penalty,0.09749442338943481,1.2477551698684692,46.49094509403221,
b3_two_phase,shared,5,constant,gumbel_softmax,depth_penalty,0.08481157571077347,1.4756232500076294,107.24374018190429,
b3_two_phase,shared,5,constant,ste,depth_penalty,0.08654952794313431,1.343666672706604,100.24567425996065,
b3_two_phase,shared,5,,reinforce,depth_penalty,,,,The size of tensor a (32) must match the size of tensor b (12) at non-singleton dimension 1
b3_two_phase,shared,5,constant,soft_gating,cost_aware_elbo,0.08234844356775284,1.7717618942260742,125.22937894403003,
b3_two_phase,shared,5,constant,gumbel_softmax,cost_aware_elbo,0.08566457033157349,1.2286090850830078,107.39924605702981,
b3_two_phase,shared,5,constant,ste,cost_aware_elbo,0.08822571486234665,2.369333267211914,146.08507698599715,
b3_two_phase,shared,5,,reinforce,cost_aware_elbo,,,,The size of tensor a (32) must match the size of tensor b (12) at non-singleton dimension 1
