model,method,reg,mse,mean_depth,entropy,dataset,nll,mean_k
FlexNN,soft_gating,none,0.2552672028541565,1.0426160527219461,0.04120835289359093,piecewise,,
FlexNN,soft_gating,elbo,0.2641947269439697,2.0875023554079233,1.3903617858886719,piecewise,,
FlexNN,gumbel_softmax,none,0.27025508880615234,1.0016733554586057,0.007146443240344524,piecewise,,
FlexNN,gumbel_softmax,elbo,0.2649121582508087,1.3726777029995352,0.3216398358345032,piecewise,,
ProbReg,soft_gating,none,0.260785311460495,,1.1818708181381226,piecewise,0.48590734601020813,3.8625001907348633
ProbReg,soft_gating,elbo,0.26666197180747986,,1.7774571180343628,piecewise,0.5072475075721741,2.441666841506958
ProbReg,gumbel_softmax,none,0.28107109665870667,,0.005181536078453064,piecewise,0.5599668622016907,5.425000190734863
ProbReg,gumbel_softmax,elbo,0.2697080671787262,,0.471070796251297,piecewise,0.4746287167072296,2.0
FlexNN,soft_gating,none,1.696216344833374,1.7255666519230175,0.14838556945323944,heteroscedastic,,
FlexNN,soft_gating,elbo,1.6201354265213013,2.072166821329544,1.3559633493423462,heteroscedastic,,
FlexNN,gumbel_softmax,none,1.6087218523025513,1.8030451296148384,0.03663760796189308,heteroscedastic,,
FlexNN,gumbel_softmax,elbo,1.8182532787322998,1.1877843061970141,0.16710905730724335,heteroscedastic,,
ProbReg,soft_gating,none,1.633374571800232,,0.7123960852622986,heteroscedastic,1.4048477411270142,210274448.0
ProbReg,soft_gating,elbo,1.6230677366256714,,1.701658844947815,heteroscedastic,1.3775367736816406,2.0
ProbReg,gumbel_softmax,none,1.7567791938781738,,0.04362453520298004,heteroscedastic,1.4460099935531616,277383328.0
ProbReg,gumbel_softmax,elbo,2.416365146636963,,0.5578275322914124,heteroscedastic,1.739282488822937,2.0
