dataset,k,variant,mse
heteroscedastic,3,SEP,1.9872
heteroscedastic,3,SEP_MONO,2.4797
heteroscedastic,3,SINGLE_N,2.3961
heteroscedastic,5,SEP,2.3428
heteroscedastic,5,SEP_MONO,2.4998
heteroscedastic,5,SINGLE_N,1.9759
heteroscedastic,7,SEP,2.4954
heteroscedastic,7,SEP_MONO,2.5063
heteroscedastic,7,SINGLE_N,1.8642
bimodal,3,SEP,2.3799
bimodal,3,SEP_MONO,2.3901
bimodal,3,SINGLE_N,2.3835
bimodal,5,SEP,2.3699
bimodal,5,SEP_MONO,2.3636
bimodal,5,SINGLE_N,2.3623
bimodal,7,SEP,2.3886
bimodal,7,SEP_MONO,2.3772
bimodal,7,SINGLE_N,2.3662
piecewise,3,SEP,0.3239
piecewise,3,SEP_MONO,0.3255
piecewise,3,SINGLE_N,0.3077
piecewise,5,SEP,0.2847
piecewise,5,SEP_MONO,0.2982
piecewise,5,SINGLE_N,0.2908
piecewise,7,SEP,0.3015
piecewise,7,SEP_MONO,0.3021
piecewise,7,SINGLE_N,0.2988
exponential,3,SEP,0.446
exponential,3,SEP_MONO,11.0007
exponential,3,SINGLE_N,0.3959
exponential,5,SEP,0.5997
exponential,5,SEP_MONO,11.9848
exponential,5,SINGLE_N,0.4043
exponential,7,SEP,0.5804
exponential,7,SEP_MONO,0.7418
exponential,7,SINGLE_N,0.3893
