config,n_classes,strategy,loss,beta,mse,slope_0,slope_1,range_0,range_1,mirror_ok,middle_flat_ok,mean_sep_ok,passed,dataset,slope_2,range_2,slope_3,slope_4,range_3,range_4,slope_5,slope_6,range_5,range_6
heteroscedastic_k2_separate_heads_nll,2,separate_heads,nll,0.5,1.9029170274734497,1.0,-1.0,6.967295,6.3205132,True,,False,False,heteroscedastic,,,,,,,,,,
heteroscedastic_k2_separate_heads_beta_nll,2,separate_heads,beta_nll,0.5,1.8804479837417603,1.0,-1.0,7.0634446,5.241457,True,,False,False,heteroscedastic,,,,,,,,,,
heteroscedastic_k2_single_head_n_outputs_nll,2,single_head_n_outputs,nll,0.5,1.9348722696304321,1.0,-1.0,3.211027,1.9199588,True,,False,False,heteroscedastic,,,,,,,,,,
heteroscedastic_k2_single_head_n_outputs_beta_nll,2,single_head_n_outputs,beta_nll,0.5,1.8591253757476807,1.0,1.0,3.2611125,4.7617626,False,,False,False,heteroscedastic,,,,,,,,,,
heteroscedastic_k3_separate_heads_nll,3,separate_heads,nll,0.5,1.8296834230422974,1.0,0.0,5.3676558,0.0,True,True,False,False,heteroscedastic,-1.0,6.328062057495117,,,,,,,,
heteroscedastic_k3_separate_heads_beta_nll,3,separate_heads,beta_nll,0.5,1.5276570320129395,1.0,0.0,5.642929,0.0,True,True,False,False,heteroscedastic,-1.0,5.753728866577148,,,,,,,,
heteroscedastic_k3_single_head_n_outputs_nll,3,single_head_n_outputs,nll,0.5,1.4812208414077759,-1.0,0.0,2.770877,0.0,True,True,False,False,heteroscedastic,1.0,4.045717239379883,,,,,,,,
heteroscedastic_k3_single_head_n_outputs_beta_nll,3,single_head_n_outputs,beta_nll,0.5,1.5007261037826538,-1.0,0.0,3.4968495,0.0,True,True,False,False,heteroscedastic,1.0,4.5063958168029785,,,,,,,,
heteroscedastic_k5_separate_heads_nll,5,separate_heads,nll,0.5,1.5175458192825317,1.0,-1.0,6.5307026,4.8657594,True,True,False,False,heteroscedastic,0.0,0.0,1.0,-1.0,5.352866172790527,1.551607608795166,,,,
heteroscedastic_k5_separate_heads_beta_nll,5,separate_heads,beta_nll,0.5,1.9752148389816284,1.0,-1.0,0.15855193,2.0261798,True,True,False,False,heteroscedastic,0.0,0.0,1.0,-1.0,3.829730749130249,0.5932477712631226,,,,
heteroscedastic_k5_single_head_n_outputs_nll,5,single_head_n_outputs,nll,0.5,1.4796942472457886,-1.0,-1.0,2.085575,2.0361547,False,True,False,False,heteroscedastic,0.0,0.0,-1.0,-1.0,3.1025023460388184,1.339576244354248,,,,
heteroscedastic_k5_single_head_n_outputs_beta_nll,5,single_head_n_outputs,beta_nll,0.5,1.517357587814331,-1.0,-1.0,3.3403108,3.188599,True,True,False,False,heteroscedastic,0.0,0.0,-1.0,1.0,2.492774248123169,3.2917251586914062,,,,
heteroscedastic_k7_separate_heads_nll,7,separate_heads,nll,0.5,1.5051331520080566,-1.0,-1.0,4.0554066,0.2349672,True,True,False,False,heteroscedastic,1.0,2.2750720977783203,0.0,-1.0,0.0,0.4631704092025757,1.0,1.0,0.8416048288345337,1.3866252899169922
heteroscedastic_k7_separate_heads_beta_nll,7,separate_heads,beta_nll,0.5,1.4753341674804688,-1.0,1.0,2.9921305,0.53227323,True,True,False,False,heteroscedastic,1.0,2.3704938888549805,0.0,1.0,0.0,0.4558541774749756,1.0,1.0,0.1943470537662506,0.76368248462677
heteroscedastic_k7_single_head_n_outputs_nll,7,single_head_n_outputs,nll,0.5,1.5157755613327026,-1.0,1.0,1.8817008,1.8289707,True,True,False,False,heteroscedastic,-1.0,0.33728671073913574,0.0,-1.0,0.0,0.1993628889322281,-1.0,1.0,2.914663553237915,0.44263821840286255
