Model,MSE,NLL,Calibration_1sigma
LinearReg,3.8787648497825185,2.0983464941345153,0.6366666666666667
XGBoost,2.1456060100443555,1.8195440692183786,0.65
LightGBM,1.6066454440853803,1.6605242789651278,0.7133333333333334
NN_Constant,7.101182175295125,2.400093314701313,0.6364
ClassReg_median_k3,1.7343298856038405,1.6251974977700006,0.7733333333333333
ClassReg_median_k5,1.6824133348303474,1.6356519419236464,0.8266666666666667
ClassReg_median_k7,1.6973975548319062,1.6516493221602426,0.8266666666666667
ClassReg_median_k10,1.566872095957503,1.6150610955726472,0.83
ClassReg_XGB_median_k7,1.7267108270637153,1.728899326247891,0.85
ClassReg_spline_k7,6.384706314844898,1.8770519160920047,0.7166666666666667
ClassReg_NN_k7,8.01538473785914,10.734580454200705,0.3234111111111111
ProbReg_k3,1.559071193200851,1.3695768230439058,0.6733333333333333
ProbReg_k5,1.5387793113856525,1.3769035275971517,0.6966666666666667
ProbReg_k7,1.601902963437374,1.3701499203969811,0.7266666666666667
ProbReg_k10,1.553052784831334,1.3871803863549987,0.6933333333333334
