Model,MSE,NLL,Calibration_1sigma
LinearReg,0.09468944042668037,0.24319403323707944,0.6266666666666667
XGBoost,0.1420283279206231,0.6393077940393423,0.54
LightGBM,0.17693409344998182,0.596261975258272,0.6133333333333333
NN_Constant,71.94853228199797,3.5569243856011257,0.6497777777777778
ClassReg_median_k3,3.515420481782518,1.8378515658689691,0.6
ClassReg_median_k5,1.117317639361981,1.5737669534996053,0.7733333333333333
ClassReg_median_k7,0.7837291685800809,1.47939860050221,0.88
ClassReg_median_k10,0.6105416508696919,1.3914184879275566,0.8933333333333333
ClassReg_XGB_median_k7,1.257553675891705,2.1563113978872233,1.0
ClassReg_spline_k7,1.6804607349475085,1.376056823547445,0.9066666666666666
ClassReg_NN_k7,69.41719751701193,2527.351944121313,0.06857777777777778
ProbReg_k3,7.746288446787076,1.3527091965736358,0.56
ProbReg_k5,0.39873419299466006,0.8653856745970552,0.76
ProbReg_k7,0.3001233564432029,0.8809898912665278,0.7266666666666667
ProbReg_k10,0.1783891427029408,0.8354665612929868,0.8133333333333334
