Model,MSE,NLL,Calibration_1sigma
LinearReg,2.2789827810417886,1.8308153889108807,0.5033333333333333
XGBoost,2.6224197002804885,1.9572288247621972,0.3233333333333333
LightGBM,2.473457332137181,1.8958135224926427,0.35333333333333333
NN_Constant,7.9281483087355475,2.454162407078449,0.6597666666666666
ClassReg_median_k3,3.4290309361100118,2.0574849866898686,0.57
ClassReg_median_k5,2.88736745005429,1.9848590696320063,0.7633333333333333
ClassReg_median_k7,3.2420675233424703,2.034482339186712,0.6733333333333333
ClassReg_median_k10,3.789591695314889,2.098810737860653,0.54
ClassReg_XGB_median_k7,3.292068512589846,2.0670984829702768,0.6933333333333334
ClassReg_spline_k7,6.826839159709573,2.616024847684251,0.4766666666666667
ClassReg_NN_k7,8.114236832923378,5.224054021393172,0.38872222222222225
ProbReg_k3,2.31861116163313,1.840185304738572,0.59
ProbReg_k5,2.3036892768749277,1.8370656373048044,0.5366666666666666
ProbReg_k7,2.3190951831490088,1.8413117134449308,0.5033333333333333
ProbReg_k10,2.304773624870871,1.8386463281939924,0.51
