model,seed,mse,nll,seconds
ProbReg(k=3),0,2.3119683265686035,1.569674015045166,8.085859169019386
ProbReg(k=3),1,2.075672149658203,1.586587905883789,8.04789627098944
ProbReg(k=3),2,2.303054094314575,1.538242220878601,10.603667615912855
ProbReg(k=3),3,2.3432352542877197,1.687804102897644,9.798521822900511
ProbReg(k=3),4,1.4491674900054932,1.3535171747207642,5.871102315024473
FlexNN(ELBO),0,1.429929494857788,1.268259882926941,6.49978418298997
FlexNN(ELBO),1,1.371458649635315,1.253971815109253,14.526217201026157
FlexNN(ELBO),2,1.3799487352371216,1.2855099439620972,10.14856331399642
FlexNN(ELBO),3,1.3715085983276367,1.2854818105697632,10.563379955943674
FlexNN(ELBO),4,1.3850747346878052,1.292220115661621,12.31856585899368
XGBoost,0,1.4798685312271118,1.6879584789276123,0.04669154598377645
XGBoost,1,1.5661505460739136,1.6488410234451294,0.036793819977901876
XGBoost,2,1.4401750564575195,1.659120798110962,0.051918321987614036
XGBoost,3,1.3554848432540894,1.6118106842041016,0.04609160707332194
XGBoost,4,1.619625210762024,1.666869044303894,0.03353242902085185
LightGBM,0,1.3346194727694283,1.5644565813728257,0.05239278101362288
LightGBM,1,1.4425150986495534,1.602819824021473,0.03405833395663649
LightGBM,2,1.3750006467811873,1.5801437515828354,0.0460325040621683
LightGBM,3,1.3199571339049063,1.5577392211647363,0.04004827199969441
LightGBM,4,1.4233974999123342,1.5958242072384081,0.02624517399817705
PyTorchNN,0,1.369024395942688,1.2737897634506226,2.9067956139333546
PyTorchNN,1,1.6118979454040527,1.5402237176895142,1.5141894910484552
PyTorchNN,2,1.4181972742080688,1.3620222806930542,1.3420429829275236
PyTorchNN,3,1.361366629600525,1.2879048585891724,2.7983906080480665
PyTorchNN,4,1.4220706224441528,1.3673077821731567,1.459692458040081
