sigma,model,k,mse,seconds
0.05,XGBoost,,0.0067033059895038605,0.07434073893819004
0.05,LightGBM,,0.006623535634559009,0.0453347199363634
0.05,NN,,0.004898428451269865,6.627707895007916
0.05,ClassReg,2.0,0.19963489339475057,4.586520984070376
0.05,ClassReg,3.0,0.17265120225339953,4.125549191958271
0.05,ClassReg,5.0,0.1101590175064159,3.581835266086273
0.05,ClassReg,10.0,0.047954389857059604,5.151863513048738
0.05,ClassReg,15.0,0.026498387186958565,5.365004995954223
0.05,"ProbReg_dyn_k(max=10,elbo)",2.0,0.012483026832342148,102.57920342800207
0.05,"ProbReg_dyn_k(max=10,none)",369844416.0,0.005878917407244444,83.46632518409751
0.3,XGBoost,,0.14645010232925415,0.049329817993566394
0.3,LightGBM,,0.11693034598391058,0.03581075801048428
0.3,NN,,0.12121808528900146,2.4791565909981728
0.3,ClassReg,2.0,0.2261496074969594,2.552569395978935
0.3,ClassReg,3.0,0.21464562923892475,4.94621940900106
0.3,ClassReg,5.0,0.2311606390909364,4.0822492350125685
0.3,ClassReg,10.0,0.16836412696854855,4.233251804951578
0.3,ClassReg,15.0,0.1502738789519181,3.318890398950316
0.3,"ProbReg_dyn_k(max=10,elbo)",2.0,0.13394826650619507,76.85219631600194
0.3,"ProbReg_dyn_k(max=10,none)",328087776.0,0.11971759796142578,31.712830021046102
1.0,XGBoost,,1.4287128448486328,0.0260767670115456
1.0,LightGBM,,1.2465962512987185,0.02110229607205838
1.0,NN,,1.099490761756897,3.609224955085665
1.0,ClassReg,2.0,1.1620916851609968,2.1821321019669995
1.0,ClassReg,3.0,1.2269707694540068,1.7509814349468797
1.0,ClassReg,5.0,1.352921074706407,3.2717869570478797
1.0,ClassReg,10.0,1.3205905672068812,2.0090021300129592
1.0,ClassReg,15.0,1.2603408790271005,1.3514450319344178
1.0,"ProbReg_dyn_k(max=10,elbo)",2.0,1.099366307258606,100.73784209601581
1.0,"ProbReg_dyn_k(max=10,none)",5.327777862548828,1.1110018491744995,85.67019203794189
