cell,mse,nll_gaussian,nll_mdn,nll_own,max_p_mid,anchor_error,dataset,k,seed
ClassReg,2.257596,1.839293,,1.839293,,,heteroscedastic,3,42
A,1.987203,1.533669,1.792497,1.533669,,5.2278,heteroscedastic,3,42
B,1.803901,1.569528,6.009433,1.569528,,0.4524,heteroscedastic,3,42
C,1.842964,1.693161,2.386442,1.693161,,0.767,heteroscedastic,3,42
D,1.851866,1.69376,2.320896,1.69376,,0.753,heteroscedastic,3,42
E,2.384818,1.686563,1.693007,1.693007,,5.5955,heteroscedastic,3,42
F,2.696654,1.80088,1.806724,1.806724,,3.3662,heteroscedastic,3,42
G,1.961492,1.719819,1.697233,1.697233,,0.3911,heteroscedastic,3,42
H,1.941909,1.715379,1.695423,1.695423,,0.4336,heteroscedastic,3,42
ClassReg,1.974319,1.759958,,1.759958,,,heteroscedastic,3,123
A,2.636253,1.776859,2.467155,1.776859,,0.9337,heteroscedastic,3,123
B,2.34963,1.727871,8.238569,1.727871,,0.9004,heteroscedastic,3,123
C,1.755486,1.621046,5.250198,1.621046,,0.4155,heteroscedastic,3,123
D,1.756399,1.620823,3.824319,1.620823,,0.4196,heteroscedastic,3,123
E,2.583068,1.805831,1.828919,1.828919,,0.9347,heteroscedastic,3,123
F,2.565871,1.821268,1.843644,1.843644,,0.9713,heteroscedastic,3,123
G,1.882079,1.71262,1.701511,1.701511,,0.2117,heteroscedastic,3,123
H,1.889826,1.714109,1.702492,1.702492,,0.2292,heteroscedastic,3,123
ClassReg,1.837174,1.723053,,1.723053,,,heteroscedastic,3,7
A,1.947451,1.630124,4.417925,1.630124,,5.7938,heteroscedastic,3,7
B,2.271412,1.525262,1.680934,1.525262,,0.7216,heteroscedastic,3,7
C,1.727122,1.639828,2.69142,1.639828,,0.6156,heteroscedastic,3,7
D,1.663414,1.649714,2.593893,1.649714,,0.8951,heteroscedastic,3,7
E,2.270698,1.770853,1.786701,1.786701,,4.21,heteroscedastic,3,7
F,2.304878,1.724548,1.710682,1.710682,,1.0207,heteroscedastic,3,7
G,1.659887,1.65048,1.627818,1.627818,,0.2949,heteroscedastic,3,7
