dataset,cell,k_max,dynamic,k_reg,seed,wall_time_s,mse,nll_gaussian,nll_mdn,effective_k,bypass_fraction,effective_k_nobypass,max_p_mid,sum_p_mid
heteroscedastic,B,10,NONE,NONE,42,19.1,1.9849,1.502468,3.334026,10.0,0.0,10.0,0.3356,0.3812
heteroscedastic,B,10,NONE,NONE,123,10.0,2.571624,1.742502,3.066682,10.0,0.0,10.0,0.549,0.6131
heteroscedastic,B,10,NONE,NONE,7,14.6,2.065793,1.535237,1.990887,10.0,0.0,10.0,0.3286,0.3323
heteroscedastic,B,10,NONE,NONE,2026,14.2,2.596118,1.813071,2.816292,10.0,0.0,10.0,0.0119,0.0121
heteroscedastic,B,10,NONE,NONE,31,16.1,2.084873,1.512157,2.967715,10.0,0.0,10.0,0.0292,0.0294
heteroscedastic,B,10,SOFT_GATING,NONE,42,62.4,1.921442,1.442546,,7.5896,0.2562,6.9115,0.5992,0.6017
heteroscedastic,B,10,SOFT_GATING,NONE,123,46.9,1.826449,1.456876,,5.9227,0.2518,4.3993,0.4569,0.5134
heteroscedastic,B,10,SOFT_GATING,NONE,7,46.4,1.620469,1.339483,,5.6083,0.0563,5.3068,0.0285,0.0287
heteroscedastic,B,10,SOFT_GATING,NONE,2026,52.2,1.95401,1.542601,,7.0438,0.5904,3.7068,0.3754,0.3767
heteroscedastic,B,10,SOFT_GATING,NONE,31,33.9,1.687264,1.36193,,7.4438,0.3598,6.0243,0.0803,0.096
heteroscedastic,B,10,SOFT_GATING,ELBO,42,52.7,2.05443,1.456224,,8.2458,0.5357,6.3047,0.5566,0.5716
heteroscedastic,B,10,SOFT_GATING,ELBO,123,61.0,1.819422,1.428298,,8.2041,0.5372,6.0887,0.4453,0.474
heteroscedastic,B,10,SOFT_GATING,ELBO,7,31.8,1.584067,1.312917,,7.9985,0.4913,6.1029,0.6577,0.6583
heteroscedastic,B,10,SOFT_GATING,ELBO,2026,40.4,1.910413,1.532561,,8.1686,0.5159,6.1729,0.9484,0.9659
heteroscedastic,B,10,SOFT_GATING,ELBO,31,25.4,1.700137,1.407322,,8.1363,0.5374,5.7882,0.0066,0.0066
heteroscedastic,C,10,NONE,NONE,42,15.3,1.799693,1.610775,3.603574,10.0,0.0,10.0,0.2011,0.4127
heteroscedastic,C,10,NONE,NONE,123,14.2,1.679375,1.567556,8.635638,10.0,0.0,10.0,0.1597,0.3286
heteroscedastic,C,10,NONE,NONE,7,17.4,1.705294,1.562723,4.315635,10.0,0.0,10.0,0.2176,0.4416
heteroscedastic,C,10,NONE,NONE,2026,18.8,1.937197,1.630967,6.387827,10.0,0.0,10.0,0.1657,0.3621
heteroscedastic,C,10,NONE,NONE,31,9.3,1.525186,1.55518,2.770747,10.0,0.0,10.0,0.1556,0.3442
heteroscedastic,C,10,SOFT_GATING,NONE,42,33.2,1.914763,1.464101,,7.2692,0.2695,6.5411,0.2949,0.6214
heteroscedastic,C,10,SOFT_GATING,NONE,123,23.3,1.787202,1.421549,,6.3632,0.1817,5.4049,0.5885,0.8121
heteroscedastic,C,10,SOFT_GATING,NONE,7,37.5,1.628191,1.269385,,6.8122,0.2994,5.663,0.4246,0.5921
heteroscedastic,C,10,SOFT_GATING,NONE,2026,23.1,1.924956,1.579288,,5.4364,0.3168,3.1952,0.4252,0.5698
heteroscedastic,C,10,SOFT_GATING,NONE,31,17.3,2.219199,1.481189,,8.2574,0.2814,7.1489,0.1992,0.5832
heteroscedastic,C,10,SOFT_GATING,ELBO,42,10.5,7.207466,2.251694,,7.5628,0.4314,5.812,0.2229,0.3396
heteroscedastic,C,10,SOFT_GATING,ELBO,123,13.1,3.128648,1.975,,8.4229,0.5971,6.0731,0.2479,0.5829
heteroscedastic,C,10,SOFT_GATING,ELBO,7,10.7,3.389885,2.055112,,8.0766,0.4795,6.2888,0.2058,0.4369
heteroscedastic,C,10,SOFT_GATING,ELBO,2026,25.3,2.061661,1.610698,,8.1343,0.5357,6.3223,0.2981,0.5126
heteroscedastic,C,10,SOFT_GATING,ELBO,31,49.1,1.941993,1.402712,,8.397,0.5974,6.0956,0.098,0.3124
bimodal,B,10,NONE,NONE,42,17.9,2.41777,1.864567,1.946085,10.0,0.0,10.0,0.0708,0.0944
bimodal,B,10,NONE,NONE,123,18.7,2.307416,1.837662,2.017978,10.0,0.0,10.0,0.3279,0.408
bimodal,B,10,NONE,NONE,7,19.1,2.381921,1.855771,1.883846,10.0,0.0,10.0,0.2831,0.4193
bimodal,B,10,NONE,NONE,2026,18.2,2.249918,1.824972,1.817953,10.0,0.0,10.0,0.0775,0.1834
bimodal,B,10,NONE,NONE,31,5.2,2.262143,1.827872,1.836233,10.0,0.0,10.0,0.093,0.1498
bimodal,B,10,SOFT_GATING,NONE,42,16.7,2.342799,1.847383,,7.6129,0.1595,7.2201,0.4998,0.6023
bimodal,B,10,SOFT_GATING,NONE,123,9.5,2.445624,1.868971,,5.8385,0.185,4.8328,0.3337,0.5104
bimodal,B,10,SOFT_GATING,NONE,7,58.5,2.355667,1.850659,,7.8398,0.3226,7.1668,0.1174,0.1611
bimodal,B,10,SOFT_GATING,NONE,2026,19.3,2.236251,1.822219,,6.4768,0.3435,4.9885,0.3638,0.5388
bimodal,B,10,SOFT_GATING,NONE,31,22.4,2.260148,1.82713,,7.1456,0.1598,6.7542,0.0718,0.1589
bimodal,B,10,SOFT_GATING,ELBO,42,16.5,2.384204,1.855226,,7.9684,0.4814,6.0758,0.459,0.6668
bimodal,B,10,SOFT_GATING,ELBO,123,31.5,2.303956,1.837242,,7.9342,0.4785,6.0429,0.3347,0.4142
bimodal,B,10,SOFT_GATING,ELBO,7,49.2,2.395937,1.858796,,8.0809,0.5087,6.111,0.1591,0.2395
bimodal,B,10,SOFT_GATING,ELBO,2026,19.1,2.234396,1.821541,,7.8385,0.4539,6.0583,0.3479,0.4718
bimodal,B,10,SOFT_GATING,ELBO,31,16.9,2.219308,1.81904,,7.9815,0.4818,6.1006,0.2266,0.3056
bimodal,C,10,NONE,NONE,42,14.7,2.376186,1.863543,1.429258,10.0,0.0,10.0,0.3359,0.422
bimodal,C,10,NONE,NONE,123,11.2,2.477193,1.880689,1.50954,10.0,0.0,10.0,0.2948,0.3986
bimodal,C,10,NONE,NONE,7,14.7,2.477256,1.88857,1.512145,10.0,0.0,10.0,0.3153,0.405
bimodal,C,10,NONE,NONE,2026,15.1,2.455406,1.888975,1.343146,10.0,0.0,10.0,0.2752,0.3607
bimodal,C,10,NONE,NONE,31,10.9,2.293606,1.838438,1.38412,10.0,0.0,10.0,0.3399,0.4613
bimodal,C,10,SOFT_GATING,NONE,42,17.3,2.376164,1.853073,,6.88,0.3001,6.2387,0.279,0.3571
bimodal,C,10,SOFT_GATING,NONE,123,7.1,2.530814,2.007952,,7.2816,0.3808,5.315,0.1805,0.379
bimodal,C,10,SOFT_GATING,NONE,7,39.1,2.309407,1.838224,,7.1311,0.351,6.2527,0.2341,0.4613
bimodal,C,10,SOFT_GATING,NONE,2026,34.1,2.271083,1.828908,,6.7857,0.4646,3.722,0.4863,0.6464
bimodal,C,10,SOFT_GATING,NONE,31,32.8,2.281895,1.832232,,7.146,0.1957,6.2502,0.57,0.6895
bimodal,C,10,SOFT_GATING,ELBO,42,18.7,2.356903,1.84906,,7.766,0.4407,6.0082,0.3664,0.5448
bimodal,C,10,SOFT_GATING,ELBO,123,25.9,2.29878,1.836014,,7.9583,0.4829,6.0554,0.1588,0.3629
bimodal,C,10,SOFT_GATING,ELBO,7,44.8,2.230875,1.820586,,7.9717,0.4985,5.943,0.1625,0.3478
bimodal,C,10,SOFT_GATING,ELBO,2026,18.3,2.230092,1.819927,,7.8448,0.4587,6.0277,0.1652,0.4761
bimodal,C,10,SOFT_GATING,ELBO,31,15.1,2.240417,1.822086,,8.0099,0.4994,6.02,0.206,0.5052
piecewise,B,10,NONE,NONE,42,7.7,0.331538,0.552236,1.734196,10.0,0.0,10.0,0.5472,0.6075
piecewise,B,10,NONE,NONE,123,11.4,0.336728,0.660975,0.927046,10.0,0.0,10.0,0.2498,0.2575
piecewise,B,10,NONE,NONE,7,8.7,0.261246,0.625325,1.394927,10.0,0.0,10.0,0.2592,0.2618
piecewise,B,10,NONE,NONE,2026,7.7,0.344667,0.594533,1.377245,10.0,0.0,10.0,0.033,0.0381
piecewise,B,10,NONE,NONE,31,8.5,0.324005,0.587004,1.192243,10.0,0.0,10.0,0.1944,0.1981
piecewise,B,10,SOFT_GATING,NONE,42,18.2,0.287912,0.51828,,6.2316,0.1541,5.9346,0.3431,0.3709
piecewise,B,10,SOFT_GATING,NONE,123,71.1,0.273182,0.39614,,6.6228,0.1441,5.7417,0.4489,0.4531
piecewise,B,10,SOFT_GATING,NONE,7,74.6,0.213515,0.423094,,6.7739,0.3764,5.9677,0.0331,0.0331
piecewise,B,10,SOFT_GATING,NONE,2026,62.0,0.277333,0.377149,,7.7882,0.543,5.3956,0.4266,0.4294
piecewise,B,10,SOFT_GATING,NONE,31,18.2,0.315584,0.583719,,5.008,0.0817,4.5895,0.4056,0.4092
piecewise,B,10,SOFT_GATING,ELBO,42,15.6,0.311237,0.532315,,7.9312,0.4832,5.9493,0.1098,0.1251
piecewise,B,10,SOFT_GATING,ELBO,123,63.9,0.272921,0.448061,,8.1544,0.5264,6.0996,0.4744,0.4797
piecewise,B,10,SOFT_GATING,ELBO,7,34.0,0.248152,0.512379,,7.9352,0.5034,5.679,0.0017,0.0024
piecewise,B,10,SOFT_GATING,ELBO,2026,67.7,0.27348,0.38705,,8.0122,0.5081,5.9669,0.3415,0.3879
piecewise,B,10,SOFT_GATING,ELBO,31,20.6,0.314061,0.598024,,7.6565,0.4069,6.1238,0.5337,0.5762
piecewise,C,10,NONE,NONE,42,9.4,0.290586,0.607836,1.324658,10.0,0.0,10.0,0.2266,0.3892
piecewise,C,10,NONE,NONE,123,8.2,0.287452,0.602404,1.308955,10.0,0.0,10.0,0.2229,0.3657
piecewise,C,10,NONE,NONE,7,8.0,0.259084,0.520641,1.806955,10.0,0.0,10.0,0.2414,0.4141
piecewise,C,10,NONE,NONE,2026,15.0,0.335883,0.551821,2.217703,10.0,0.0,10.0,0.209,0.366
piecewise,C,10,NONE,NONE,31,14.8,0.30389,0.602595,1.205201,10.0,0.0,10.0,0.2907,0.4422
piecewise,C,10,SOFT_GATING,NONE,42,17.4,0.316882,0.670932,,5.3941,0.1347,4.9729,0.1563,0.2308
piecewise,C,10,SOFT_GATING,NONE,123,16.7,0.285096,0.602678,,5.4002,0.0966,4.8155,0.1187,0.2447
piecewise,C,10,SOFT_GATING,NONE,7,59.9,0.247349,0.429797,,8.0796,0.6722,4.7562,0.0965,0.1505
piecewise,C,10,SOFT_GATING,NONE,2026,55.1,0.322513,0.443583,,7.8245,0.5761,5.3699,0.2477,0.4096
piecewise,C,10,SOFT_GATING,NONE,31,10.1,2.511166,1.566121,,5.5807,0.2216,4.3477,0.3067,0.4763
piecewise,C,10,SOFT_GATING,ELBO,42,22.5,0.318945,0.510319,,8.041,0.5097,5.8967,0.29,0.3948
piecewise,C,10,SOFT_GATING,ELBO,123,11.4,0.32102,0.751647,,8.3156,0.5349,6.4163,0.2891,0.573
piecewise,C,10,SOFT_GATING,ELBO,7,29.5,0.247714,0.447857,,8.1443,0.5267,6.1411,0.1091,0.208
piecewise,C,10,SOFT_GATING,ELBO,2026,12.4,0.403253,0.600688,,8.3066,0.5658,5.9686,0.3116,0.6056
piecewise,C,10,SOFT_GATING,ELBO,31,18.7,0.334112,0.591487,,8.0279,0.4663,6.1585,0.0772,0.1657
exponential,B,10,NONE,NONE,42,11.3,2.668837,1.085492,2.497218,10.0,0.0,10.0,0.0001,0.0001
exponential,B,10,NONE,NONE,123,12.5,3.602413,1.07641,2.339733,10.0,0.0,10.0,0.6985,0.6988
exponential,B,10,NONE,NONE,7,12.2,1.382695,1.01924,2.876941,10.0,0.0,10.0,0.0142,0.0143
exponential,B,10,NONE,NONE,2026,11.4,1.224398,1.082601,2.282761,10.0,0.0,10.0,0.0003,0.0003
exponential,B,10,NONE,NONE,31,10.9,2.047418,1.130282,3.118235,10.0,0.0,10.0,0.7259,0.7259
exponential,B,10,SOFT_GATING,NONE,42,44.7,0.361947,0.957801,,4.4138,0.172,3.2557,0.8971,1.0
exponential,B,10,SOFT_GATING,NONE,123,59.3,0.282932,0.802592,,7.7011,0.558,4.8981,0.8284,0.9192
exponential,B,10,SOFT_GATING,NONE,7,47.7,0.344455,0.907238,,5.6859,0.1302,5.0434,0.0,0.0
exponential,B,10,SOFT_GATING,NONE,2026,57.0,0.308715,0.85927,,7.7974,0.4909,4.6043,0.028,0.0352
exponential,B,10,SOFT_GATING,NONE,31,58.5,0.390129,0.945507,,9.8487,0.9611,3.4338,0.0965,0.0968
exponential,B,10,SOFT_GATING,ELBO,42,62.1,0.42957,1.068517,,8.0268,0.5762,5.2621,0.9999,0.9999
exponential,B,10,SOFT_GATING,ELBO,123,34.8,0.28746,0.8022,,8.109,0.5252,5.9764,0.7004,0.8242
exponential,B,10,SOFT_GATING,ELBO,7,29.4,0.255228,0.767947,,7.8279,0.4919,5.7284,0.0,0.0
exponential,B,10,SOFT_GATING,ELBO,2026,46.5,0.296612,0.826127,,7.9087,0.473,6.0229,0.0,0.0
exponential,B,10,SOFT_GATING,ELBO,31,44.8,0.441195,0.974919,,8.3552,0.6267,5.6816,0.9375,0.9942
exponential,C,10,NONE,NONE,42,15.1,0.825204,1.184886,4.359835,10.0,0.0,10.0,0.2534,0.4099
exponential,C,10,NONE,NONE,123,14.1,0.609561,1.027467,2.60859,10.0,0.0,10.0,0.2711,0.4523
exponential,C,10,NONE,NONE,7,15.4,0.505211,0.97259,3.214491,10.0,0.0,10.0,0.3116,0.5162
exponential,C,10,NONE,NONE,2026,13.3,0.868684,1.073153,2.156539,10.0,0.0,10.0,0.2515,0.4149
exponential,C,10,NONE,NONE,31,14.5,0.608871,1.109174,2.523125,10.0,0.0,10.0,0.2306,0.3896
exponential,C,10,SOFT_GATING,NONE,42,71.3,0.40418,0.952265,,5.1543,0.3482,2.7554,0.1729,0.2155
exponential,C,10,SOFT_GATING,NONE,123,38.6,0.391242,0.941601,,6.902,0.3605,4.9301,0.1356,0.2366
exponential,C,10,SOFT_GATING,NONE,7,47.0,0.284389,0.78556,,7.5188,0.6116,3.6901,0.741,0.7765
exponential,C,10,SOFT_GATING,NONE,2026,48.1,0.3161,0.847479,,8.3478,0.605,5.1174,0.154,0.2422
exponential,C,10,SOFT_GATING,NONE,31,52.7,0.328768,0.870813,,9.9369,0.9919,2.2188,0.3099,0.5664
exponential,C,10,SOFT_GATING,ELBO,42,53.9,0.381933,0.945715,,8.1504,0.5641,5.7696,0.6844,0.7371
exponential,C,10,SOFT_GATING,ELBO,123,58.0,0.392345,0.941984,,7.9434,0.49,5.9456,0.2537,0.3918
exponential,C,10,SOFT_GATING,ELBO,7,49.0,0.268069,0.791539,,7.7136,0.434,6.0084,0.2047,0.2185
exponential,C,10,SOFT_GATING,ELBO,2026,42.7,0.338594,0.870391,,7.9094,0.4783,5.9769,0.1258,0.2774
exponential,C,10,SOFT_GATING,ELBO,31,43.2,0.417454,0.988148,,7.8597,0.4713,5.9776,0.5432,0.7511
