dataset,cell,k_max,dynamic,k_reg,seed,wall_time_s,mse,nll_gaussian,nll_mdn,effective_k,max_p_mid,sum_p_mid
heteroscedastic,B,3,NONE,NONE,42,9.3,3.328209,1.908846,3.200055,3.0,0.2886,0.2886
heteroscedastic,B,3,NONE,NONE,123,7.1,2.358682,1.674373,8.10471,3.0,0.0453,0.0453
heteroscedastic,B,3,NONE,NONE,7,8.8,2.433323,1.613057,1.723221,3.0,0.0083,0.0083
heteroscedastic,B,3,NONE,NONE,2026,7.0,2.353408,1.713692,1.812558,3.0,0.036,0.036
heteroscedastic,B,3,NONE,NONE,31,7.1,1.724486,1.608216,1.952886,3.0,0.0771,0.0771
heteroscedastic,B,3,SOFT_GATING,NONE,42,9.0,1.874287,1.463228,,2.6296,0.084,0.084
heteroscedastic,B,3,SOFT_GATING,NONE,123,8.8,1.802501,1.394619,,2.7966,0.4129,0.4129
heteroscedastic,B,3,SOFT_GATING,NONE,7,7.3,1.715944,1.296598,,2.9035,0.1265,0.1265
heteroscedastic,B,3,SOFT_GATING,NONE,2026,10.1,1.945029,1.530113,,2.4061,0.0,0.0
heteroscedastic,B,3,SOFT_GATING,NONE,31,10.0,1.598123,1.340301,,2.9727,0.3428,0.3428
heteroscedastic,B,3,SOFT_GATING,K_PENALTY,42,9.1,1.891525,1.450295,,2.5719,0.0974,0.0974
heteroscedastic,B,3,SOFT_GATING,K_PENALTY,123,8.2,2.086922,1.510839,,2.6616,0.4086,0.4086
heteroscedastic,B,3,SOFT_GATING,K_PENALTY,7,7.3,1.748231,1.30707,,2.8696,0.1126,0.1126
heteroscedastic,B,3,SOFT_GATING,K_PENALTY,2026,11.7,1.935548,1.571293,,2.3628,0.0,0.0
heteroscedastic,B,3,SOFT_GATING,K_PENALTY,31,10.0,1.596293,1.338018,,2.9554,0.3459,0.3459
heteroscedastic,B,3,SOFT_GATING,ELBO,42,13.7,1.936296,1.447888,,2.3436,0.0684,0.0684
heteroscedastic,B,3,SOFT_GATING,ELBO,123,12.9,1.840095,1.436275,,2.3557,0.4759,0.4759
heteroscedastic,B,3,SOFT_GATING,ELBO,7,9.8,1.755494,1.324891,,2.3475,0.2755,0.2755
