dataset,cell,k_max,dynamic,k_reg,mse_mean,mse_std,nll_gaussian_mean,nll_gaussian_std,nll_mdn_mean,nll_mdn_std,effective_k_mean,effective_k_std,max_p_mid_mean,max_p_mid_std,sum_p_mid_mean,sum_p_mid_std,wall_time_s_mean,wall_time_s_std
bimodal,B,3,GUMBEL_SOFTMAX,ELBO,2.620092,0.3264706591839457,1.9061990000000002,0.060181573068506605,,,2.11542,0.029709543921103865,0.37601999999999997,0.1413009271024079,0.37601999999999997,0.1413009271024079,6.42,2.403539057306954
bimodal,B,3,GUMBEL_SOFTMAX,K_PENALTY,2.3147235999999998,0.05245539564525279,1.8397832,0.01194813212180042,,,2.8959,0.19921843539190842,0.42590000000000006,0.23620533440208327,0.42590000000000006,0.23620533440208327,4.5200000000000005,1.886001060445089
bimodal,B,3,GUMBEL_SOFTMAX,NONE,2.3097164,0.04922003241364236,1.8386848,0.01136423009710728,,,2.92118,0.1669220985969204,0.43034,0.24440284981971874,0.43034,0.24440284981971874,5.6,3.2687918257362303
bimodal,B,3,NONE,NONE,2.3398524000000003,0.07897884563476457,1.8469356000000001,0.01694693834590778,1.840026,0.047527655912110736,3.0,0.0,0.28650000000000003,0.05103704536902582,0.28650000000000003,0.05103704536902582,5.720000000000001,2.243211982849593
bimodal,B,3,SOFT_GATING,ELBO,2.306907,0.03663859009296074,1.8382638,0.00841924401000467,,,2.33622,0.01860677296040346,0.3832,0.13689976260023246,0.3832,0.13689976260023246,8.0,3.1976553910638965
bimodal,B,3,SOFT_GATING,K_PENALTY,2.3147390000000003,0.08195327679232842,1.8409424,0.019710984990608617,,,2.60106,0.3222163605405535,0.33492,0.29589806859795487,0.33492,0.29589806859795487,4.88,2.783343313355361
bimodal,B,3,SOFT_GATING,NONE,2.3353279999999996,0.10413345037018602,1.8454443999999999,0.026352635243937206,,,2.7163,0.3324450255305378,0.30404,0.26263498053381995,0.30404,0.26263498053381995,5.32,2.682722497762301
bimodal,B,5,GUMBEL_SOFTMAX,ELBO,2.3541894,0.0765768915718049,1.8498246000000003,0.016058412384167973,,,2.38958,0.056617152877904434,0.51244,0.14691832084529144,0.62332,0.1417493456775022,8.88,1.6208022704821212
bimodal,B,5,GUMBEL_SOFTMAX,K_PENALTY,2.3222633999999998,0.049544575927138595,1.8415362000000002,0.011352448268985883,,,2.86152,0.5313078693187219,0.46628,0.15196490384295974,0.6300600000000001,0.1504859893810716,14.7,7.450838878945108
bimodal,B,5,GUMBEL_SOFTMAX,NONE,2.3437031999999998,0.059270690886812,1.8458288,0.013322301197615986,,,4.29274,0.7049885835955075,0.48460000000000003,0.1724589081491588,0.667,0.151741260044854,10.9,6.908690179766351
bimodal,B,5,NONE,NONE,2.3356316,0.05945100164252916,1.845183,0.014471788486569357,1.8443352000000002,0.01988082907476443,5.0,0.0,0.42024,0.16611254618480806,0.62664,0.1879144166901518,5.0,3.3414068893207247
bimodal,B,5,SOFT_GATING,ELBO,2.313685,0.051629342659964036,1.8389376,0.011432386684328001,,,3.04174,0.04369162391122582,0.5217,0.20334628100852992,0.7136,0.200357405652998,13.5,6.7590679830876095
bimodal,B,5,SOFT_GATING,K_PENALTY,2.3189152,0.053626277632332665,1.840811,0.012818200107659394,,,2.5077399999999996,0.2982645352702868,0.49328000000000005,0.2028243994197937,0.66062,0.29210751787655176,15.48,7.3754321907261815
bimodal,B,5,SOFT_GATING,NONE,2.3383836000000002,0.0569038858453445,1.8448996000000002,0.01227572137595178,,,3.9932600000000003,0.6310147803340269,0.45519999999999994,0.27171149221186797,0.5870200000000001,0.3338936237785921,11.34,6.1820708504513275
bimodal,B,7,GUMBEL_SOFTMAX,ELBO,2.3956817999999998,0.108716519104504,1.8612392,0.027495819413139905,,,2.6139400000000004,0.05824038976517916,0.21526,0.1466645765002579,0.28134000000000003,0.17305137387492767,13.219999999999999,3.7936789532062414
bimodal,B,7,GUMBEL_SOFTMAX,K_PENALTY,2.3161506,0.06738472128605999,1.8407938000000001,0.015616374457600554,,,3.5142399999999996,0.6957544847142559,0.28468,0.1319312965145117,0.3583,0.13042559181387678,30.619999999999997,9.005942482605583
bimodal,B,7,GUMBEL_SOFTMAX,NONE,2.3492812,0.05996702779611483,1.8469924,0.01402527934837664,,,6.10986,0.71712046268392,0.34504,0.059883161239199775,0.4181,0.04298953360993813,20.56,10.411676137875208
bimodal,B,7,NONE,NONE,2.3190356000000003,0.05727818671885476,1.8408324,0.013091837945834853,1.8544908,0.015625328002957316,7.0,0.0,0.13277999999999998,0.07602800142052926,0.22406,0.09674933074703929,5.42,2.3657979626333265
bimodal,B,7,SOFT_GATING,ELBO,2.2818424,0.04220838273731886,1.8326328,0.0093803302820317,,,3.7719,0.040873769094616125,0.40278,0.19825447535932197,0.51212,0.21963109297182856,19.92,10.984170428393764
bimodal,B,7,SOFT_GATING,K_PENALTY,2.321592,0.08401900649555422,1.841196,0.020488680594416032,,,2.58452,0.2183785062683597,0.50852,0.265099315351813,0.61498,0.27646234282447946,28.96,9.551073238123555
bimodal,B,7,SOFT_GATING,NONE,2.2891188,0.04984210422624612,1.8339576000000002,0.011421356893994756,,,5.80096,0.5245393436149478,0.32474,0.1471661577945147,0.40142,0.12503214386708725,18.56,10.399663456093185
bimodal,C,3,GUMBEL_SOFTMAX,ELBO,2.796468,0.22048042849309799,1.9504416,0.039525125183862454,,,2.13976,0.04447598228257584,0.27266,0.033208176703938434,0.27266,0.033208176703938434,6.28,1.4601369798755186
bimodal,C,3,GUMBEL_SOFTMAX,K_PENALTY,2.2875172,0.05003065037254639,1.8333994,0.011194690071636695,,,2.9892,0.015428382935356602,0.36544,0.15872577925466297,0.36544,0.15872577925466297,7.220000000000001,5.690079085566386
bimodal,C,3,GUMBEL_SOFTMAX,NONE,2.2858718,0.05483146737686295,1.833135,0.012371426312272988,,,2.9974800000000004,0.0032306346125798857,0.40953999999999996,0.18161359530607835,0.40953999999999996,0.18161359530607835,7.56,4.994296747290854
bimodal,C,3,NONE,NONE,2.5558794,0.15586271232818946,1.9132946,0.032385054736714616,1.9479122,0.11394526012827386,3.0,0.0,0.31706,0.026393900810603946,0.31706,0.026393900810603946,4.96,2.668894902389377
bimodal,C,3,SOFT_GATING,ELBO,2.3304169999999997,0.04735376045785597,1.8435638,0.010659670947078866,,,2.33978,0.013861349140686083,0.2334,0.08366187901308457,0.2334,0.08366187901308457,10.379999999999999,4.149939758598912
bimodal,C,3,SOFT_GATING,K_PENALTY,2.4176354,0.2698723716505636,1.8642632,0.062238418149082125,,,2.80304,0.14069324077580983,0.30326,0.12323689788371014,0.30326,0.12323689788371014,6.0,5.3376024580330075
bimodal,C,3,SOFT_GATING,NONE,2.310705,0.09146876890775328,1.8404466,0.0240577251688516,,,2.9177799999999996,0.0749166002965964,0.33168000000000003,0.06949476239257174,0.33168000000000003,0.06949476239257174,6.1,4.3903302837030385
bimodal,C,5,GUMBEL_SOFTMAX,ELBO,2.5684418,0.2628452100252162,1.8966176000000001,0.044055102715803506,,,2.26506,0.08484973777213449,0.26668,0.041643210731162394,0.46552,0.05090453810810977,12.2,7.585182924623505
