noise_std,dynamic,k_reg,seed,mse,nll_gaussian,effective_k,bypass_fraction,effective_k_nobypass,wall_time_s
0.1,NONE,NONE,42,17.887793,0.265086,10.0,0.0,10.0,12.0
0.1,NONE,NONE,123,12.321642,0.329425,10.0,0.0,10.0,10.4
0.1,NONE,NONE,7,6.34868,-0.106125,10.0,0.0,10.0,10.0
0.1,NONE,NONE,2026,5.254857,-0.063005,10.0,0.0,10.0,10.5
0.1,NONE,NONE,31,8.192865,0.015858,10.0,0.0,10.0,10.7
0.1,SOFT_GATING,NONE,42,0.075817,-0.584265,5.2992,0.2376,3.9013,55.1
0.1,SOFT_GATING,NONE,123,0.017612,-0.68124,8.1314,0.6352,4.7329,53.9
0.1,SOFT_GATING,NONE,7,0.040859,-0.531139,6.1964,0.3005,4.8518,38.5
0.1,SOFT_GATING,NONE,2026,0.023112,-0.541019,8.9067,0.7816,3.9102,51.9
0.1,SOFT_GATING,NONE,31,0.024638,-0.600436,9.8976,0.9724,3.3279,47.0
0.5,NONE,NONE,42,5.042154,1.088192,10.0,0.0,10.0,11.0
0.5,NONE,NONE,123,10.757416,1.325757,10.0,0.0,10.0,11.3
0.5,NONE,NONE,7,1.971224,0.851516,10.0,0.0,10.0,11.0
0.5,NONE,NONE,2026,1.746395,1.10654,10.0,0.0,10.0,9.9
0.5,NONE,NONE,31,4.208906,1.119242,10.0,0.0,10.0,10.5
0.5,SOFT_GATING,NONE,42,0.315264,0.803949,4.6355,0.2408,3.1262,56.7
0.5,SOFT_GATING,NONE,123,0.277759,0.775405,7.6456,0.5212,5.0567,54.0
0.5,SOFT_GATING,NONE,7,0.287466,0.700077,5.8753,0.144,5.1862,48.4
0.5,SOFT_GATING,NONE,2026,0.338393,0.8861,7.5961,0.5284,4.0914,41.8
0.5,SOFT_GATING,NONE,31,0.315509,0.867494,9.821,0.9516,3.3571,41.8
2.0,NONE,NONE,42,16.253731,2.303974,10.0,0.0,10.0,10.4
2.0,NONE,NONE,123,14.680161,2.390148,10.0,0.0,10.0,10.6
2.0,NONE,NONE,7,4.738239,2.079923,10.0,0.0,10.0,10.4
2.0,NONE,NONE,2026,6.099826,2.316429,10.0,0.0,10.0,10.4
2.0,NONE,NONE,31,8.032881,2.325563,10.0,0.0,10.0,10.5
2.0,SOFT_GATING,NONE,42,3.786768,2.087524,7.5745,0.0721,7.2483,59.9
2.0,SOFT_GATING,NONE,123,4.005241,2.138999,9.1286,0.4648,6.8857,36.0
2.0,SOFT_GATING,NONE,7,3.220574,2.022308,6.8252,0.044,6.6579,61.7
2.0,SOFT_GATING,NONE,2026,5.136107,2.270829,6.5115,0.333,4.2934,32.4
2.0,SOFT_GATING,NONE,31,4.741488,2.264294,7.7976,0.0033,7.7905,60.3
